Purchasing Document;Item;Req Delivery Date;Delivery Date;Delivery Completed;Requisitioner;Created By;Supplier;Material Group;Terms of Payment
4500093085;10;06.06.2025;06.06.2025;Yes;A72755;M89400;42513214;C492005;Y016
4500045759;10;31.12.2024;29.02.2024;No;D40969;S64912;42471833;C613500;Y009
4500091628;10;05.06.2025;;No;A72755;M89400;42513214;C492005;Y016
4500045943;10;31.01.2024;23.01.2024;No;J60975;B26557;42473253;C551000;Y016
4500090106;10;14.05.2025;;No;M85771;A44167;41019592;C640500;YEM3
4500045943;20;31.01.2024;23.01.2024;No;J60975;B26557;42473253;C551000;Y016
4500069952;10;06.11.2024;;No;M51710;A44167;41033775;C901000;YEM3
4500054200;10;23.04.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500055895;10;10.04.2024;;No;W13170;D40306;41033778;C507030;Y009
4500058888;10;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;10;16.02.2024;31.01.2024;No;T34737;M89400;42346023;C740515;Y016
4500058888;20;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;20;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;30;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;30;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;40;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;40;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;50;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;50;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;60;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;60;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;70;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046099;70;16.02.2024;31.01.2024;Yes;T34737;M89400;42346023;C740515;Y016
4500058888;80;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046247;10;31.12.2024;26.01.2024;No;D40744;M89399;42475888;C541000;Y016
4500058888;90;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046323;10;31.01.2024;31.01.2024;No;A72401;B26557;42475183;C551000;Y016
4500058888;100;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046323;20;31.01.2024;31.01.2024;No;A72401;B26557;42475183;C551000;Y016
4500058888;110;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500046324;10;31.01.2024;01.02.2024;No;A72401;B26557;42475183;C551000;Y016
4500060761;10;21.06.2024;;No;M51710;A44167;41033778;C112005;YEM3
4500047409;10;09.02.2024;;No;M51710;A44167;41033780;C902500;YEM3
